Year,Country of origin (ISO),Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,Others of concern
2019,SOM,KEN,257766,6499,0
2019,SOM,YEM,252899,155,0
2019,SOM,ETH,192181,55,0
2019,SOM,UGA,33073,4887,0
2019,SOM,DEU,26015,8438,0
2019,SOM,ZAF,23635,5054,0
2019,SOM,SWE,17593,1084,0
2019,SOM,ITA,14029,444,0
2019,SOM,DJI,13277,119,0
2019,SOM,NLD,13007,196,0
2019,SOM,AUT,7636,911,0
2019,SOM,NOR,6518,40,0
2019,SOM,CHE,4762,250,0
2019,SOM,FRA,4535,3895,0
2019,SOM,EGY,3973,2729,0
2019,SOM,ZMB,3379,245,0
2019,SOM,GBR,3271,508,0
2019,SOM,FIN,2977,728,0
2019,SOM,CAN,2253,621,0
2019,SOM,BEL,2097,310,0
2019,SOM,USA,1971,345,0
2019,SOM,MLT,1780,145,0
2019,SOM,MYS,1540,1754,0
2019,SOM,GRC,1499,2289,0
2019,SOM,DNK,1308,150,0
2019,SOM,IDN,1120,302,0
2019,SOM,ESP,747,140,0
2019,SOM,JOR,660,84,0
2019,SOM,HUN,615,0,0
2019,SOM,IND,533,319,0
2019,SOM,AUS,526,101,0
2019,SOM,SDN,438,171,0
2019,SOM,SYR,346,31,0
2019,SOM,BWA,299,36,0
2019,SOM,AGO,270,1731,16
2019,SOM,IRL,231,136,0
2019,SOM,CYP,221,369,0
2019,SOM,KWT,218,442,0
2019,SOM,THA,200,24,0
2019,SOM,PAK,181,21,0
2019,SOM,NER,163,64,0
2019,SOM,TZA,159,5,0
2019,SOM,MOZ,148,3239,0
2019,SOM,CHN,106,17,0
2019,SOM,ROU,99,27,0
2019,SOM,SWZ,99,256,0
2019,SOM,LBY,91,2331,0
2019,SOM,UKR,85,106,0
2019,SOM,ERI,78,0,0
2019,SOM,NRU,78,10,0
2019,SOM,GHA,63,21,0
2019,SOM,BGR,50,5,0
2019,SOM,MWI,50,52,0
2019,SOM,POL,50,0,0
2019,SOM,SVN,50,0,0
2019,SOM,BRA,48,570,0
2019,SOM,LUX,41,35,0
2019,SOM,ISL,38,33,0
2019,SOM,PRT,33,5,0
2019,SOM,SVK,32,0,0
2019,SOM,PHL,31,14,0
2019,SOM,HRV,28,0,0
2019,SOM,NPL,26,0,0
2019,SOM,LIE,25,5,0
2019,SOM,BDI,23,0,0
2019,SOM,HKG,22,0,0
2019,SOM,LTU,22,0,0
2019,SOM,PNG,19,0,0
2019,SOM,TUN,19,170,0
2019,SOM,RWA,18,24,5
2019,SOM,ARE,18,0,0
2019,SOM,COD,16,51,0
2019,SOM,SAU,16,0,0
2019,SOM,CZE,14,0,0
2019,SOM,LBN,14,8,0
2019,SOM,ZWE,14,19,0
2019,SOM,NZL,13,0,0
2019,SOM,COL,11,0,0
2019,SOM,BGD,10,14,0
2019,SOM,QAT,9,0,0
2019,SOM,ECU,8,0,0
2019,SOM,MAR,8,10,0
2019,SOM,TCD,7,0,0
2019,SOM,CRI,7,7,0
2019,SOM,GIN,6,0,0
2019,SOM,IRQ,6,5,0
2019,SOM,KOR,6,0,0
2019,SOM,ARG,5,0,0
2019,SOM,CIV,5,0,0
2019,SOM,JPN,5,0,0
2019,SOM,LBR,5,0,0
2019,SOM,LVA,5,0,0
2019,SOM,NAM,5,6,0
2019,SOM,SRB,5,20,0
2019,SOM,URY,5,0,0
2019,SOM,BIH,0,7,5
2019,SOM,GEO,0,33,0
2019,SOM,ISR,0,11,0
2019,SOM,MRT,0,5,0
2019,SOM,MEX,0,6,0
2019,SOM,PAN,0,103,0
2019,SOM,SOM,0,0,134
2019,SOM,SSD,0,31,0